#Energy [keV]              Counts per [keV-s]              Error
68              5.63288e-06                5.63288e-06
69              0                0
70              0                0
71              0                0
72              -1.64882e-06                1.64882e-06
73              -0.000102226                1.29828e-05
74              -0.00224413                9.01662e-05
75              0.00273175                0.000335377
76              -0.00175646                0.000338811
77              -0.00190005                0.000315085
78              -0.00298894                0.000263142
79              -0.00215478                0.000218655
80              -0.000910789                0.000190913
81              -0.00016613                0.000180882
82              0.000217773                0.000182076
83              0.0010741                0.000201595
84              0.00173855                0.000228156
85              0.00116437                0.000248307
86              0.000203424                0.000255763
87              -0.000504372                0.000246657
88              -0.00148231                0.000219026
89              -0.00133293                0.000195265
90              -0.000816412                0.000171229
91              -0.000447493                0.00015317
92              -0.000172194                0.000140886
93              -0.000309707                0.000136228
94              0.000200172                0.000140745
95              0.000128593                0.000139263
96              0.000218177                0.000139909
97              0.000335116                0.00013848
98              -2.20898e-05                0.000130922
99              0.000103759                0.000133242
100              2.97232e-05                0.000128856
101              4.89461e-05                0.000131257
102              0.000113243                0.00013272
103              -5.45708e-06                0.000129715
104              -0.000195602                0.000125805
105              -0.000116466                0.000127235
106              6.79032e-05                0.000132073
107              1.92765e-05                0.000129558
108              0.000210938                0.000132577
109              5.22439e-05                0.000131236
110              -4.35256e-05                0.000131057
111              0.000164481                0.000135009
112              0.000297202                0.000136919
113              -1.4808e-05                0.000131032
114              -4.70893e-05                0.000129505
115              7.73417e-06                0.000129631
116              0.000118057                0.000131915
117              6.54245e-05                0.000133017
118              0.000108307                0.000130884
119              -7.51554e-06                0.000129253
120              8.97592e-05                0.00013053
121              1.92765e-05                0.000129558
122              0.000120514                0.000134669
123              0.000155705                0.000131991
124              9.99079e-05                0.00013388
125              -0.000131295                0.000125383
126              -6.49507e-05                0.000129302
127              6.77141e-06                0.000129795
128              0.000128083                0.000132628
129              0.000230437                0.000134606
130              0.000294457                0.000136336
131              0.000129865                0.000133388
132              0.000225358                0.000133873
133              0.00022756                0.000133245
134              0.000115168                0.000132399
135              7.47861e-05                0.000129837
136              -0.0001768                0.000129697
137              0.000152662                0.000135384
138              0.000101535                0.000137497
139              0.000227783                0.00014189
140              -1.43405e-05                0.000144714
141              0.000249133                0.000155033
142              -2.40109e-05                0.000152765
143              0.000265388                0.000148734
144              0.000201113                0.000144052
145              0.000101679                0.000136448
146              0.00011528                0.000136816
147              4.79619e-05                0.000135113
148              4.97545e-05                0.000134035
149              0.000343781                0.000137088
150              0.000121897                0.000133129
151              0.00012162                0.000133439
152              3.46289e-06                0.000131698
153              9.49611e-05                0.00013391
154              0.000212576                0.00013441
155              8.94719e-05                0.000132713
156              0.000303931                0.000137626
157              5.51108e-05                0.00013446
158              0.000402046                0.000136136
159              3.20368e-05                0.000132761
160              0.000195534                0.000135123
161              0.00012587                0.000135093
162              0.000170789                0.000137081
163              0.000230139                0.000138512
